name,description,stars,primary_role,secondary_role,signal_strength,tier,rank
Jeff Dean,"Google Chief Scientist. Co-founder of Google Brain. Architect of TPUs, large-scale distributed training, Transformer scaling, and JAX evolution. Designed high-throughput deep learning infrastructure powering Gemini.",1250,Foundational AI / Frontier Research Scientist,AI / ML Infrastructure & Distributed Systems,1585.0,🧠 Foundational AI,1
Ilya Sutskever,"Co‑founder and Chief Scientist of OpenAI. Pioneer of sequence learning, scaling laws, and large language model training. Co‑author of AlexNet, foundational deep learning breakthroughs, and next‑generation GPT architecture.",1400,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1570.0,🧠 Foundational AI,2
Jakob Uszkoreit,"Co‑author of 'Attention is All You Need'. Inventor of Transformers. Research focuses on scaling LLM architectures, long‑context attention, and foundational generative modeling.",1320,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1498.0,🧠 Foundational AI,3
Andrej Karpathy,"Founding member of OpenAI. Former Tesla Director of AI. Architect of multimodal GPT systems, large‑scale training pipelines, optimized distributed deep learning, and vision‑language models. Contributor to Transformer evolution and inference acceleration.",1280,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1462.0,🧠 Foundational AI,4
Noam Shazeer,"Lead author of Transformer paper, MoE pioneer, co‑founder of CharacterAI. Creator of Sparse Mixture‑of‑Experts architectures, GShard, and high‑efficiency training algorithms.",1220,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1278.0,🧠 Foundational AI,5
Dario Amodei,"CEO of Anthropic. Former OpenAI VP of Research. Led GPT‑2/GPT‑3 development. Expert in RLHF, safety, model scaling, and mixture‑of‑experts alignment for Claude models.",1100,RLHF / Alignment Engineer,Applied LLM / GenAI Engineer,1260.0,🧠 Foundational AI,6
Ashish Vaswani,"Lead author of the Transformer architecture. Major contributions to attention mechanisms, encoder‑decoder frameworks, and scalable sequence modeling.",1180,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1242.0,🧠 Foundational AI,7
Tom Brown,"Lead GPT‑3 engineer. Specialized in massive distributed systems, model‑parallel training, and multi‑cluster GPU orchestration for trillion‑parameter LLMs.",990,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,1171.0,🧠 Foundational AI,8
Sam McCandlish,Creator of Chinchilla scaling laws. Expert in compute‑optimal LLM design and efficient training regimes.,940,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1156.0,🧠 Foundational AI,9
Alec Radford,"GPT‑1/GPT‑2 lead author. Expert in generative modeling, Transformer optimization, and autoregressive LLM design.",910,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1129.0,🧠 Foundational AI,10
Luke Zettlemoyer,Meta AI researcher. LLaMA architect. Foundation model training and NLP research leader.,840,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1066.0,🧠 Foundational AI,11
Jan Leike,"Former OpenAI Alignment head. Co‑author of RLHF pipeline. Expert in reward modeling, preference optimization, and safe large‑scale LLM behavior tuning.",880,RLHF / Alignment Engineer,Applied LLM / GenAI Engineer,1062.0,🧠 Foundational AI,12
Oriol Vinyals,DeepMind senior researcher. Led AlphaStar. Expert in large‑scale sequence learning and reinforcement learning with LLMs.,790,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,1021.0,🧠 Foundational AI,13
Victor L,"Mistral engineer. Works on Mixtral MoE, inference acceleration, sparse routing.",720,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,958.0,🧠 Foundational AI,14
Ben Wang,FlashAttention developer. Specialist in CUDA kernels and high‑efficiency LLM training.,750,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,955.0,🧠 Foundational AI,15
Guillaume Lample,"Co‑created LLaMA. Expert in multimodal LLMs, efficient training, and advanced scaling methods.",910,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,949.0,🧠 Foundational AI,16
Gemini Engineer,"Google DeepMind engineer. Multimodal LLM infrastructure, large‑scale training.",710,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,949.0,🧠 Foundational AI,17
Mistral Researcher,"MoE + inference acceleration for Mixtral, optimized decoding.",680,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,922.0,🧠 Foundational AI,18
